Θユら戳,ユ澄る,Θユ丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
20200211,202003     ,94450,11632.0,11632.0,11627.0,11628.0,8
20200211,202003     ,94500,11632.0,11633.0,11632.0,11633.0,4
20200211,202003     ,94602,11635.0,11645.0,11634.0,11643.0,60
20200211,202003     ,94724,11643.0,11645.0,11641.0,11641.0,18
20200211,202003     ,94801,11639.0,11639.0,11638.0,11638.0,10
20200211,202003     ,94904,11640.0,11652.0,11640.0,11652.0,98
20200211,202003     ,95006,11645.0,11645.0,11627.0,11629.0,30
20200211,202003     ,95102,11632.0,11632.0,11626.0,11630.0,12
20200211,202003     ,95233,11633.0,11640.0,11633.0,11637.0,26
20200211,202003     ,95304,11638.0,11638.0,11637.0,11637.0,6
20200211,202003     ,95402,11638.0,11640.0,11638.0,11640.0,10
20200211,202003     ,95500,11640.0,11640.0,11637.0,11637.0,4
20200211,202003     ,95641,11640.0,11646.0,11640.0,11642.0,20
20200211,202003     ,95725,11638.0,11638.0,11636.0,11636.0,4
20200211,202003     ,95804,11636.0,11636.0,11636.0,11636.0,4
20200211,202003     ,95916,11641.0,11644.0,11641.0,11644.0,4
20200211,202003     ,100007,11643.0,11643.0,11643.0,11643.0,2
20200211,202003     ,100105,11638.0,11643.0,11638.0,11643.0,10
20200211,202003     ,100200,11643.0,11645.0,11643.0,11645.0,4
20200211,202003     ,100308,11645.0,11645.0,11641.0,11641.0,6
20200211,202003     ,100407,11644.0,11644.0,11644.0,11644.0,4
20200211,202003     ,100500,11644.0,11646.0,11643.0,11643.0,6
20200211,202003     ,100600,11647.0,11648.0,11647.0,11647.0,30
20200211,202003     ,100811,11649.0,11649.0,11645.0,11646.0,8
20200211,202003     ,100916,11646.0,11649.0,11646.0,11646.0,12
20200211,202003     ,101043,11648.0,11648.0,11646.0,11646.0,16
20200211,202003     ,101133,11643.0,11643.0,11642.0,11642.0,4
20200211,202003     ,101339,11644.0,11644.0,11644.0,11644.0,2
20200211,202003     ,101415,11642.0,11642.0,11642.0,11642.0,4
20200211,202003     ,101500,11642.0,11644.0,11642.0,11643.0,26
20200211,202003     ,101638,11643.0,11645.0,11643.0,11645.0,4
20200211,202003     ,101706,11641.0,11641.0,11641.0,11641.0,2
20200211,202003     ,101900,11645.0,11649.0,11645.0,11649.0,12
20200211,202003     ,102008,11649.0,11650.0,11649.0,11650.0,42
20200211,202003     ,102118,11650.0,11654.0,11650.0,11652.0,54
20200211,202003     ,102236,11654.0,11654.0,11649.0,11649.0,28
20200211,202003     ,102301,11649.0,11649.0,11649.0,11649.0,10
20200211,202003     ,102401,11649.0,11652.0,11649.0,11651.0,24
20200211,202003     ,102520,11652.0,11654.0,11651.0,11654.0,24
20200211,202003     ,102702,11649.0,11649.0,11646.0,11648.0,6
20200211,202003     ,102808,11643.0,11643.0,11641.0,11641.0,18
